age,industry,title,context,salary,benefits,currency,currency-other,income_context,country,us_state,city,exp_total,exp_field,education,gender,race,,,
25-34,Engineering or Manufacturing,Program manager ,,"157,000",35000,USD,,,USA ,New Jersey,Remote ,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
55-64,Insurance,Account Management Director,,"160,000",5000,USD,,,US,New York,Melville,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",,,
35-44,Government and Public Administration,Human Resources Specialist,,"66,805",NA,USD,,,USA,Kansas,Wichita,11 - 20 years,5-7 years,Some college,Woman,White,,,
25-34,Computing or Tech,Senior Business Analyst,Project work primarily focused on short term process improvement,"76,989",10000,CAD,,additional compensation has a base of 12% of annual wage; bonus is calculated based on performance and can be greater/lesser than amt quoted. Can also work paid overtime on occasion as business needs dictate but is rare. ,Canada,,Calgary,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
35-44,Affordable Housing Real Estate Development (nonprofit),Senior Project Manager,,"144,200",14420,USD,,,USA,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Woman,Black or African American,,,
35-44,,office manager,manage a building vs managing employees,"40,000",NA,USD,,,USA,Nevada,Las Vegas,11 - 20 years,11 - 20 years,High School,Woman,White,,,
35-44,Computing or Tech,Na,,100000,3000,USD,,,USA,New York,Hicksville ,11 - 20 years,8 - 10 years,College degree,Woman,Asian or Asian American,,,
25-34,Computing or Tech,Senior Data Scientist,,"160,000",116000,USD,,Most additional compensation in the form of equity,United States of America,California,San Francisco,2 - 4 years,2 - 4 years,PhD,Man,White,,,
25-34,Education (Higher Education),Associate Director of Alumni Relations,,"90,000",NA,USD,,,U.S.,Massachusetts,Cambridge,11 - 20 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Nonprofits,Communications Specialist,,"90,000",NA,USD,,,Africa,,Africa,5-7 years,5-7 years,Master's degree,Woman,Black or African American,,,
35-44,Nonprofits,Supervisor ,,"54,080",NA,USD,,,USA,Pennsylvania,Pittsburgh,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,Education (Higher Education),Student Success Librarian,,"54,000",NA,USD,,,USA,South Carolina,Large town/small city,5-7 years,5-7 years,Master's degree,Woman,White,,,
,,,,,NA,,,,,,,,,,,,,,
35-44,Utilities & Telecommunications,VP Finance,,"96,000",2300,USD,,,United States,Pennsylvania,Wellsboro ,11 - 20 years,5-7 years,Master's degree,Woman,White,,,
25-34,Nonprofits,Executive Director,,"74,651",0,USD,,,USA,Pennsylvania,Philadelphia,5-7 years,2 - 4 years,PhD,Non-binary,White,,,
25-34,Mining,Customer Service Representative ,Work in commercial sales operations for sales and marketing team,"59,000",7000,USD,,,Usa,Illinois,Chicago ,2 - 4 years,2 - 4 years,Master's degree,Woman,Asian or Asian American,,,
35-44,Education (Primary/Secondary),Director of Special Education,,"69,000",0,USD,,,USA,Virginia,Pearisburg ,11 - 20 years,5-7 years,Master's degree,Woman,White,,,
25-34,Education (Higher Education),Assistant Director,Frontline Fundraising Staff,"64,575",0,USD,,,United States,New York,New York City,8 - 10 years,8 - 10 years,Master's degree,Man,White,,,
35-44,Government and Public Administration,Budget analyst,,83000,3000,USD,,,USA,New York,NYC,8 - 10 years,2 - 4 years,Master's degree,Woman,Asian or Asian American,,,
25-34,Education (Higher Education),Assistant Librarian,,"41,428",0,EUR,,,Ireland ,,Dublin,2 - 4 years,2 - 4 years,Master's degree,Woman,White,,,
18-24,Insurance,Administration ,,42000,NA,USD,,,USA ,,New York ,1 year or less,1 year or less,,,,,,
25-34,Recruitment or HR,HR generalist,,60000,NA,USD,,,US,California,Diamond bar,1 year or less,1 year or less,College degree,Woman,White,,,
25-34,Education (Primary/Secondary),6-8 English as a Second Language Teacher,,"49,008",0,USD,,,United States,Minnesota,Minneapolis,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",Digital Marketing Coordinator,,46000,0,USD,,,USA,New Jersey,Sparta,5-7 years,2 - 4 years,College degree,Non-binary,White,,,
45-54,"Accounting, Banking & Finance",Insurance product manager ,,"32,500",0,GBP,,"Also £3600 General share allowance & 200 mgmt share scheme allowance, circa £9600 pre tax. Need to hold shares for 3 yrs, subject to tax & ni",United Kingdom ,,Cardiff ,11 - 20 years,2 - 4 years,College degree,Woman,White,,,
25-34,Computing or Tech,UX designer,Also known as product designer or UX/UI designer,"145,000",25000,USD,,,United States,California,San Francisco,5-7 years,5-7 years,College degree,Woman,Asian or Asian American,,,
25-34,Pharmaceutical research,Senior analyst,,42000,2000,CAD,,Gross income before taxes.,Canada,,Montreal,5-7 years,2 - 4 years,College degree,Woman,Black or African American,,,
45-54,Education (Primary/Secondary),Childcare Worker,,33800,0,CAD,,,Canada,,Edmonton ,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
35-44,Library,Librarian,,80000,1200,USD,,,USA,Colorado,Boulder,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Nonprofits,Product Manager,Product Manager,"68,000",1000,USD,,,United States,Massachusetts,"Boston, MA",8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Nonprofits,Communication Associate,,"44,000",NA,USD,,,USA,Washington,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Engineering or Manufacturing,Aerospace Design Engineer,,"77,000",0,USD,,,United States,California,Camarillo ,11 - 20 years,2 - 4 years,College degree,Man,White,,,
35-44,Computing or Tech,Senior software developer in test,,"117,000",5800,USD,,,USA,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
55-64,Government and Public Administration,Library Program Coordinator,,"51,000",1200,USD,,,U.S.,Florida,Tallahassee,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
35-44,"Accounting, Banking & Finance",Ta,Tax preparer ,25000,5000,USD,,Only work 3.5 months per year. jmJan 1 thru April 15,Usa,Indiana,New albany,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Health care,Project Manager,,95000,15000,USD,,,US,Illinois,Remote,8 - 10 years,8 - 10 years,Some college,Woman,White,,,
35-44,Computing or Tech,Head of Engineering,,"220,000",NA,USD,,,US,Oregon,Portland,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Education (Primary/Secondary),High school teacher,,78000,0,USD,,,Us,California,San Jose,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
35-44,Computing or Tech,Product Design Manager,,"250,000",350000,USD,,"Stock, bonus ",United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American,,,
45-54,Retail,HR Manager ,,"110,000",0,USD,,,US,Texas,Fort Worth ,21 - 30 years,5-7 years,Some college,Woman,White,,,
25-34,Computing or Tech,Technical Writer,,"90,000",NA,USD,,,USA,District of Columbia,Washington DC,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Education (Higher Education),Outreach specialist,related to international development & research,53000,NA,USD,,,US,Arizona,Phoenix,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
25-34,Art & Design,Graphic Designer,,41600,NA,USD,,,United States of America ,Oregon,Portland ,11 - 20 years,8 - 10 years,Some college,Non-binary,White,,,
18-24,Library,Customer Service Specialist,"A \library associate\"" - I work service points",do some programs,etc.,"but don't have a MLIS""","29,250",0,USD,,,United States of America,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Engineering or Manufacturing,Senior Quality Manager,,"131,600",10000,USD,,,USA,Connecticut,Middletown,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
45-54,"Accounting, Banking & Finance",DevOps Lead,"Community lead, Evangelist","120,000",NA,EUR,,,Austria,,Vienna,21 - 30 years,5-7 years,Master's degree,Man,White,,,
25-34,"Accounting, Banking & Finance",Economist,,"50,000",8000,GBP,,,United Kingdom,,London,2 - 4 years,2 - 4 years,Master's degree,Man,White,,,
25-34,Computing or Tech,Project Coordinator,,"57,000",0,USD,,,US,California,Sacramento,8 - 10 years,8 - 10 years,College degree,Woman,White,,,
18-24,Market research,Senior Data Analyst,,"21,000",0,GBP,,,United Kingdom,,Newcastle,2 - 4 years,2 - 4 years,Master's degree,Woman,White,,,
35-44,Computing or Tech,Staff Software Engineer,At my company this is a level between Senior and Principal.,172000,0,USD,,,United States,New York,New York City,11 - 20 years,11 - 20 years,College degree,Man,White,,,
35-44,Computing or Tech,IT Service Manager,,"36,027",6500,GBP,,,Wales (United Kingdom),,"WFH. Job located in Newport, South Wales",11 - 20 years,11 - 20 years,College degree,Man,White,,,
25-34,Health care,Lab Supervisor,,"96,000",40000,USD,,,USA,Wisconsin,Madison,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
45-54,"Accounting, Banking & Finance",Sr Financial Analyst,,"93,000",NA,USD,,,USA,New York,Rochester,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
45-54,Property or Construction,Office Manager,,"49,920",NA,USD,,,US,Tennessee,Nashville,21 - 30 years,11 - 20 years,College degree,Woman,White,,,
35-44,Medical research,Bioinformatician,,"483,600",1000,SEK,,,Sweden,,Uppsala,5-7 years,2 - 4 years,PhD,Man,Another option not listed here or prefer not to answer,,,
25-34,"Accounting, Banking & Finance",Project finance manager,Project finance for renewable energy projects ,142000,28500,USD,,,USA,Massachusetts,Boston ,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American,,,
25-34,Computing or Tech,Continuous Process Improvement Manager,1 Direct report. Small computer manufacturing line.,"67,000",0,USD,,,United States,Connecticut,Monroe,8 - 10 years,5-7 years,College degree,Man,White,,,
35-44,Law,Personal Assistant,"Some EA duties, some legal assistant duties, sometimes I just go out and get lunch","61,000",NA,AUD/NZD,,"9.5% of my income goes into superannuation, the Australian version of a 401K",Australia,,"Melbourne, Victoria",11 - 20 years,8 - 10 years,College degree,Woman,White,,,
25-34,Education (Primary/Secondary),Project manager,,"32,400",700,GBP,,,United Kingdom,,London,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",,,
25-34,Education (Primary/Secondary),Head's PA,,35000,0,GBP,,,UK,,London,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
45-54,Computing or Tech,Technology Director,,"105,000",25000,GBP,,,UK,,Cambridge,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
25-34,Health care,Pharmacist,,"99,800",0,AUD/NZD,,"on top of this, work directly pays my rent",New Zealand,,rural,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Education (Higher Education),Global Transcript Evaluator,I evaluate international credentials to determine US degree equivalency for admissions purposes.,"48,818",5000,USD,,"Yearly bonus, not guaranteed, amount varies",United States,Utah,Ogden - but I work remote. Company is based in MD,2 - 4 years,2 - 4 years,Master's degree,Woman,Black or African American,,,
25-34,Health care,Psychologist ,,87500,10000,USD,,,US,District of Columbia,DC,5-7 years,2 - 4 years,PhD,Woman,"Hispanic, Latino, or Spanish origin",,,
35-44,Government and Public Administration,Lead Cataloger ,"Head of Cataloging, Public Library","51,000",NA,USD,,,United States,Missouri,Kansas City ,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
18-24,Education (Higher Education),Administrative Assistant ,,27000,NA,USD,,,USA,Pennsylvania,St. Davids,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
25-34,Property or Construction,Executive Assistant,Executive Assistant to the CEO of the company,"36,000",500,USD,,"No benefits whatsoever. Rare random bonuses when the CEO feels like it, never exceeding $500 at a time.",USA,California,Los Angeles,2 - 4 years,1 year or less,Master's degree,Woman,White,,,
35-44,"Marketing, Advertising & PR",Video producer,,"96,000",5000,USD,,,United States,Minnesota,Minneapolis,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Utilities & Telecommunications,Warehouse Manager ,,"42,000",NA,USD,,,United States,Nevada,Las Vegas ,2 - 4 years,1 year or less,Some college,Man,"Hispanic, Latino, or Spanish origin",,,
25-34,"Accounting, Banking & Finance",Financial crimes operations specialist ,Investigate bank accounts for suspicious/fraud activity ,"42,500",0,USD,,,Usa,Oregon,Portland,8 - 10 years,8 - 10 years,High School,Non-binary,White,,,
35-44,Law,"Assistant Director, Human Resources",Attorney working in a non traditional space with Human Resources,96900,0,USD,,,USA,Michigan,Detroit,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American,,,
35-44,Government and Public Administration,Project Manager,Public Health field,97000,0,USD,,,USA,Oregon,Portland,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White,,,
25-34,Education (Primary/Secondary),Content Specialist ,Develop curricular resources and professional development for elementary math ,42000,NA,USD,,,USA,Arizona,Phoenix,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Nonprofits,Support Centre Manager,,"41,750",0,CAD,,,Canada,,"Vancouver, Canada",8 - 10 years,5-7 years,Some college,Man,White,,,
45-54,Education (Primary/Secondary),High School Math Teacher,,"47,400",NA,USD,,,U.S.A.,Alabama,Smiths Station,8 - 10 years,2 - 4 years,Master's degree,Woman,White,,,
45-54,Retail,Customer service specialist ,,"40,000",0,USD,,,USA,Maryland,Baltimore ,11 - 20 years,8 - 10 years,Some college,Woman,White,,,
25-34,Rural electrification,Director of Business Development,I work for a startup where all of our titles are a bit inflated.,60000,NA,USD,,,Kenya,,Nairobi,5-7 years,5-7 years,College degree,Woman,White,,,
45-54,Health care,Manager Mental Health Program,,93000,NA,CAD,,,Canada,,London,21 - 30 years,11 - 20 years,PhD,Woman,White,,,
25-34,Hospitality & Events,Senior Manager,,"75,000",25000,USD,,,USA,California,Los Angeles,5-7 years,5-7 years,College degree,,White,,,
35-44,Computing or Tech,Senior Application Developer,,68000,3000,EUR,,,Germany,,Bonn,8 - 10 years,5-7 years,Master's degree,Man,White,,,
45-54,Education (Higher Education),Associate Professor,,"101,000",0,USD,,,USA,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,PhD,,Asian or Asian American,,,
35-44,Government and Public Administration,Biologist,,"92,000",NA,USD,,"I live in the Bay Area CA, one of the highest costs of living in the world",USA,California,Oakland CA,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Education (Primary/Secondary),After School Program Leader,,"27,000",0,USD,,,Us,Maine,Portland,8 - 10 years,2 - 4 years,Master's degree,Woman,White,,,
45-54,Pharmaceuticals,Associate Medical Director,clinical trials director,210000,50000,USD,,bonus commensurate with performance,USA,Washington,Seattle,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American,,,
35-44,"Leisure, Sport & Tourism",Administrative Assistant,,"31,200",0,USD,,,United States,Nevada,Las Vegas,11 - 20 years,1 year or less,College degree,Woman,White,,,
35-44,Nonprofits,General Manager,,198000,NA,AUD/NZD,,,Australia,,SA,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
45-54,Health care,Application Systems Analyst,,"70,500",0,USD,,,United States,New Hampshire,Keene,11 - 20 years,5-7 years,College degree,Woman,White,,,
25-34,Education (Higher Education),Research officer,,"80,000",NA,CAD,,,Canada,,Toronto,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American,,,
25-34,Biomedical research,Bioinformatics Engineer,Data curation focus,80000,0,USD,,,USA,Washington,Seattle,5-7 years,5-7 years,PhD,Woman,White,,,
18-24,Retail,Assistant Manager,,40560,200,USD,,,United States,Oregon,Beaverton,5-7 years,5-7 years,Some college,Man,"Hispanic, Latino, or Spanish origin",,,
35-44,Engineering or Manufacturing,Business Intelligence Analyst II ,,75000,NA,USD,,,United States,Wisconsin,Neenah,21 - 30 years,8 - 10 years,College degree,Woman,Asian or Asian American,,,
45-54,Property or Construction,Development & Implementation Specialist,"I help public agencies (higher ed, healthcare, state, local & federal govt.) with a specific form of construction contracting to complete projects. ",73000,1500,USD,,,United States,California,Santa Rosa,11 - 20 years,5-7 years,Some college,Woman,White,,,
25-34,Education (Higher Education),Reporting & Data Analyst,,"88,000",NA,USD,,,United States,Massachusetts,Cambridge,11 - 20 years,8 - 10 years,College degree,Woman,White,,,
35-44,"Marketing, Advertising & PR",Associate Strategy Director,,"120,000",0,CAD,,,Canada,,Toronto,11 - 20 years,8 - 10 years,Some college,Woman,White,,,
45-54,"Marketing, Advertising & PR",Manager - Marketing & Communication,,"86,500",15000,CAD,,,Canada,,Edmonton,21 - 30 years,11 - 20 years,College degree,Man,White,,,
18-24,Computing or Tech,Data Analyst,,"75,000",NA,USD,,,United States,Texas,Austin,2 - 4 years,2 - 4 years,College degree,Man,White,,,
25-34,Transport or Logistics,Passenger Assistant,,20800,NA,GBP,,I have a zero hours contract and usually work less than 20 hours a week,UK,,Blackpool,1 year or less,1 year or less,College degree,Non-binary,White,,,
35-44,Biomedical Research,"Pharmacology Specialist, Scientist I.",,"120,000",20000,USD,,,USA,Massachusetts,Cambridge,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Health care,Medical Laboratory Scientist ,Heath care related laboratory testing. ,"61,838",NA,USD,,,United States,Kansas,Wichita,8 - 10 years,8 - 10 years,College degree,Man,White,,,
25-34,Education (Higher Education),Graduate Student,Engineering,36000,0,USD,,,United States,Pennsylvania,State College,5-7 years,5-7 years,Master's degree,Man,White,,,
25-34,Law,Senior Associate ,,"92,000",10000,USD,,,United States ,Texas,Houston,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Business or Consulting,Associate,Urban/Transportation Planner,"75,000",NA,CAD,,,Canada,,Toronto,5-7 years,2 - 4 years,Master's degree,Woman,White,,,
55-64,"Accounting, Banking & Finance",Compliance Senior Manager,Risk Management Oversight,"187,000",75000,USD,,,USA,California,San Francisco,21 - 30 years,11 - 20 years,Master's degree,Woman,White,,,
25-34,Computing or Tech,Software Support Manager,,"40,095",4000,GBP,,,UK,,Reading,11 - 20 years,5-7 years,Some college,Woman,White,,,
25-34,Art & Design,Lead Designer,,"50,000",0,USD,,,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,,,
55-64,Utilities & Telecommunications,Executive Assistant,,87000,NA,USD,,,US,Texas,Houston,21 - 30 years,11 - 20 years,Some college,Woman,White,,,
25-34,Education (Higher Education),professional faculty,,62000,0,USD,,,United States,Virginia,Gloucester,8 - 10 years,8 - 10 years,Master's degree,Woman,White,,,
25-34,Media & Digital,Legal translator,,"55,000",20000,CAD,,,Canada,,Montreal,5-7 years,2 - 4 years,Master's degree,Woman,White,,,
45-54,"Marketing, Advertising & PR",Marketing Director ,,"112,000",13000,USD,,,United States ,"Iowa, Utah, Vermont",Des Moines ,21 - 30 years,21 - 30 years,College degree,Woman,White,,,
35-44,Nonprofits,Administrative Services Manager,Accounting and HR,"65,000",1300,USD,,,USA,Texas,San Antonio ,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Health care,Physical Therapist,,"97,000",NA,USD,,,USA,Pennsylvania,Quakertown ,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,Engineering or Manufacturing,IT,"Only managers and above have a title, everyone else is \only\"" a member of a department""","43,000",2300,EUR,,,Germany,,Munich,5-7 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Hospitality & Events,Events Specialist,Events Specialist at a Law firm,"85,000",NA,USD,,"Not sure if eligible for a bonus, since we did not receive one during COVID and this is my first year at this company",USA,New Jersey,New York,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",,,
25-34,Computing or Tech,QA Analyst ,Manual software testing,"37,000",0,GBP,,,UK,,WFH,8 - 10 years,2 - 4 years,College degree,Woman,White,,,
35-44,Nonprofits,Standards Associate,,"62,500",NA,USD,,,United States,New York,NY,11 - 20 years,2 - 4 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White",,,
45-54,Business or Consulting,Digital lead,,"160,000",NA,AUD/NZD,,,Australia,,canberra,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Computing or Tech,Senior Solution Engineer I,developing internal software,"145,000",0,USD,,,USA,North Carolina,Garner,21 - 30 years,11 - 20 years,Some college,Man,White,,,
25-34,Business or Consulting,Environmental Planner ,"I work for an environmental engineering consultancy, but I handle zoning/permitting/urban planning issues, not engineering  ","62,500",3000,USD,,"I live in a high COL state, my (middle class) salary qualifies me to apply for affordable housing in my county and neighboring ones. This role has an extremely varied salary elsewhere. ",United States ,New Jersey,Newark,2 - 4 years,2 - 4 years,Master's degree,Woman,White,,,
25-34,Computing or Tech,Technician ,Computer service/ repair ,"55,000",NA,USD,,,Usa,Massachusetts,Newton,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White",,,
35-44,Computing or Tech,data product manager,,"105,000",0,USD,,,us,"Massachusetts, New Hampshire",ipswich,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
25-34,"Accounting, Banking & Finance",Collections Associate,,"39,000",3000,USD,,,United States,Massachusetts,Woburn,2 - 4 years,2 - 4 years,College degree,Man,White,,,
25-34,"Accounting, Banking & Finance",Partner,Venture capital fund,185000,30000,AUD/NZD,,,New Zealand,,Auckland,8 - 10 years,8 - 10 years,College degree,Man,White,,,
25-34,Nonprofits,Senior Program Manager,,95000,0,USD,,,United States of America,District of Columbia,"Washington, DC",8 - 10 years,5-7 years,College degree,Woman,White,,,
55-64,Nonprofits,Director of HR,,78000,0,USD,,,United States,Massachusetts,Springfield ,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
18-24,Education (Primary/Secondary),Teacher,,"42,000",0,USD,,,US,Georgia,Glennville,2 - 4 years,2 - 4 years,College degree,Woman,White,,,
35-44,Engineering or Manufacturing,Administrative Assistant ,,"60,320",2000,USD,,,United States,South Carolina,Spartanburg ,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
25-34,Law,Associate,,"280,000",52000,USD,,,USA,New York,New York,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American,,,
55-64,Computing or Tech,Scrum Master,,"110,000",0,USD,,"Contractor, paid hourly, no PTO or medical benefits ",USA,Pennsylvania,Pittsburgh,31 - 40 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Nonprofits,Immigration Services Manager,,52000,0,USD,,,USA,Georgia,Atlanta,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
55-64,Education (Primary/Secondary),TEACHER,,"40,000",0,GBP,,,UK,,SOUTHEND-ON-SEA,31 - 40 years,31 - 40 years,College degree,Woman,White,,,
35-44,"Accounting, Banking & Finance",Office Manager,,"105,000",10000,USD,,,USA,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American,,,
25-34,Engineering or Manufacturing,Scientist,,"105,000",15000,USD,,,United States ,California,Irvine,5-7 years,5-7 years,PhD,Woman,White,,,
25-34,Computing or Tech,CTO,,78000,15000,EUR,,,Germany,,Berlin,5-7 years,5-7 years,College degree,Man,White,,,
45-54,Education (Higher Education),Instructional Prof,,"102,000",0,USD,,,US,Texas,College Station,11 - 20 years,11 - 20 years,PhD,Woman,White,,,
25-34,"Marketing, Advertising & PR",Freelance content writer,"Self employed writing digital content, mostly marketing content for small to medium sized companies","60,000",0,USD,,,USA,New York,Beacon,8 - 10 years,5-7 years,College degree,Woman,White,,,
25-34,"Music: freelance, performing and education",Freelance violinist,,"50,000",0,USD,,My income varies from year to year because I freelance. ,USA,Texas,Houston area,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
55-64,Sales,Account Manager,,180000,58000,USD,,,USA ,Pennsylvania,Philadelphia ,41 years or more,41 years or more,Some college,Man,White,,,
35-44,Computing or Tech,Data Scientist,,26000,1000,EUR,,,Latvia,,Riga,11 - 20 years,5-7 years,College degree,Woman,White,,,
45-54,"Accounting, Banking & Finance",Tax preparer,,"47,840",300,USD,,,Usa,Colorado,Loveland,21 - 30 years,5-7 years,College degree,Woman,White,,,
35-44,Nonprofits,Manager of Professional Development,Museum educator and manager of education,"61,800",NA,USD,,,USA,,"Washington, DC",11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Education (Primary/Secondary),Manager,Consulting project manager,155,0,USD,,,usa,Massachusetts,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Nonprofits,Chief of Staff,,129800,NA,USD,,,United States,District of Columbia,Washington,11 - 20 years,11 - 20 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,,,
18-24,Engineering or Manufacturing,Mailing Operator,,"36,000",NA,CAD,,,Canada,,Winnipeg,5-7 years,2 - 4 years,High School,Woman,White,,,
25-34,Computing or Tech,Senior software engineer,,150000,20000,USD,,,United States,Massachusetts,Cambridge ,5-7 years,5-7 years,College degree,Woman,White,,,
25-34,Government and Public Administration,Transit Planner,,108000,NA,USD,,,USA,California,San Francisco,8 - 10 years,5-7 years,Master's degree,Woman,White,,,
35-44,Education (Primary/Secondary),BCBA/LBA,,"80,000",0,USD,,,USA,Hawaii,Honolulu,8 - 10 years,2 - 4 years,Master's degree,Woman,White,,,
45-54,Computing or Tech,Product Manager,,"89,000",NA,USD,,,United States,Wisconsin,Madison,21 - 30 years,5-7 years,College degree,Woman,White,,,
45-54,Education (Higher Education),Assistant Professor of Education,"Certification Officer, Coordinator of Clinical Experiences",44000,0,USD,,,USA,Missouri,Bolivar,11 - 20 years,8 - 10 years,PhD,Woman,White,,,
35-44,Museum,Early Learning STEM Manager,,"40,000",NA,USD,,,USA,Pennsylvania,Harrisburg,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Computing or Tech,Engineering Manager,,119000,10000,USD,,,USA,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
35-44,Computing or Tech,Software Engineer,,"130,000",10000,USD,,,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Man,White,,,
45-54,Government and Public Administration,Manager,,"120,000",0,CAD,,Highest pay grade at my level ,Canada,,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Woman,White,,,
25-34,"Marketing, Advertising & PR",Content Writer/Copywriter,,"40,000",1000,USD,,"I live in a relatively high CoL city in a low CoL state. While copywriters in other places, like NYC, might earn more, my income is very normal for my field and location.",USA,North Carolina,Charlotte,8 - 10 years,2 - 4 years,College degree,Non-binary,White,,,
25-34,Nonprofits,Shelter Coordinator,I run a homeless shelter,47840,NA,CAD,,,Canada,,"Portage la Prairie, Manitoba",5-7 years,1 year or less,Master's degree,Woman,White,,,
35-44,Recruitment or HR,People Business Partner,Hr manager,96000,10000,USD,,,United states,Ohio,Elyria,11 - 20 years,11 - 20 years,Master's degree,Woman,Native American or Alaska Native,,,
35-44,Nonprofits,Director of HR,,96000,NA,USD,,,United States,Texas,Carrollton,11 - 20 years,11 - 20 years,College degree,Woman,White,,,
55-64,Veterinary medicine,Veterinary Specialist,"work for state diagnostic lab, public sector job, not private clinician","89,800",0,USD,,,United States,Arkansas,Little Rock,21 - 30 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,,,
35-44,Health care,Administrative Support Specialist ,,"52,000",NA,USD,,,United States,Massachusetts,Boston,8 - 10 years,5-7 years,College degree,Woman,White,,,
35-44,Nonprofits,Research Associate ,,"77,000",NA,USD,,"This is >$25,000 than I’ve made in any other position in my field. ",United States,Alabama,Mobile,11 - 20 years,11 - 20 years,Master's degree,Woman,White,,,
35-44,Social Work,Social Worker / Child Development Specialist,Provide therapeutic services to children with special needs,"62,000",NA,USD,,,United States,Illinois,Chicago,11 - 20 years,8 - 10 years,Master's degree,Woman,White,,,
35-44,Government and Public Administration,Deputy Courtroom Clerk,,"80,000",0,USD,,,United States,California,San Francisco,11 - 20 years,2 - 4 years,College degree,Woman,White,,,
